142	8931	31
7161	1787	4
198	1568	4
424	3316	16
101	8431	11
2709	6597	10
1409	5447	7
254	556	19
106	5331	11
12	4386	12
106	9524	16
106	8178	14
4492	4715	10
124	383	5
121	2955	34
357	4060	0
8	8813	22
139	4336	21
103	937	23
23717	6926	17
937	5400	1
14497	5665	16
152	9690	11
14	6282	19
1069	1057	4
3481	9462	2
281	5207	4
327	1085	8
12	6031	4
141	2309	3
115	1948	32
1589	9146	10
827	5870	42
561	4233	20
196	2304	28
275	187	8
108	5077	5
383	352	44
14	8680	7
11825	4282	23
138	2331	2
1601	6635	39
101	4650	12
2	7663	8
101	6382	21
5839	7133	4
639	7769	2
3014	1649	8
101	579	24
101	2402	29
14	3785	13
468	6728	7
105	3983	8
14	7840	25
572	7771	26
7098	1250	3
151	48	11
109	6516	14
101	6052	12
104	1675	29
22035	1407	8
390	1345	9
268	7498	3
105	7591	10
2520	3788	14
115	5353	17
112	2522	5
173	6111	0
1433	5451	19
104	7995	33
11843	7319	15
3656	5016	0
104	9071	26
1477	4144	9
158	8976	2
1042	9054	12
907	6542	6
770	1136	31
8465	3693	6
104	7328	6
797	7778	25
105	2174	39
274	7483	3
120	2392	7
13966	603	0
161	9872	5
12	6658	29
12	8388	3
126	1953	1
1018	9572	0
105	9101	10
292	9281	17
102	2732	22
101	9348	23
756	25	15
8	1068	15
126	7848	6
10812	8112	8
110	7412	9
670	622	29
108	7768	28
132	8314	3
127	7490	22
244	2651	9
102	5824	9
7020	59	8
172	4696	8
101	8773	5
102	4366	11
2129	7869	1
108	1055	29
12	9098	5
126	8103	22
7500	9549	4
12	6313	7
134	4094	11
112	8956	9
2419	5851	1
162	2772	1
101	2894	5
120	2482	11
58	1933	25
2557	418	15
623	8092	18
101	6850	13
137	2034	1
689	5837	3
106	927	5
381	3500	8
8061	6729	24
12	6888	17
110	4949	8
888	3109	7
12	3976	7
2776	6029	9
105	2831	12
12342	577	17
1755	3249	1
13	3938	8
14	8634	36
460	9236	8
101	8139	15
8	6435	26
3740	1015	4
108	7285	16
138	6717	4
118	3497	3
115	4492	9
1309	3363	16
12	6962	32
618	4966	19
6991	9990	14
251	199	20
2	9318	4
2737	8973	16
218	8803	24
102	6413	18
7	6361	6
5231	1980	4
333	8050	22
395	6635	29
110	2001	22
12	8160	7
12	1357	10
6640	7655	19
111	5240	14
7542	1369	14
334	167	25
101	7727	7
22387	8169	23
240	5881	1
264	2276	2
2411	8043	7
106	1238	5
821	6398	15
27945	9840	7
2028	5690	16
13357	7102	9
1354	6028	17
1861	8880	27
105	3713	12
17798	9716	21
166	2794	15
107	3435	43
1781	9867	3
106	5311	17
136	3988	10
4935	5243	13
19013	9303	0
101	232	2
525	5906	17
107	8371	24
919	1814	23
101	2604	27
216	5891	29
280	4063	5
342	1958	5
2512	7189	1
9	7552	10
107	543	11
102	8424	4
1305	1432	17
12	1394	39
1304	5104	7
138	6395	16
6930	7236	35
12	2241	7
361	8647	19
6229	9102	23
16	90	9
177	6549	26
102	2531	4
104	296	17
747	6689	9
2895	1366	8
195	2732	10
3972	5093	32
3656	2812	9
103	4459	25
27089	3027	31
14	9710	21
2927	6314	34
519	2529	0
118	7050	6
141	8141	30
85	2988	3
3695	4086	14
121	6387	6
219	2183	1
182	1881	38
1953	2136	8
124	5269	4
3031	4387	27
26947	792	32
166	1473	25
11392	2825	15
14	8546	16
5359	2653	7
116	6689	0
338	4109	15
107	4981	14
325	9986	1
1557	7353	4
10137	6483	9
1219	6152	40
8	4417	12
10941	9136	10
107	2810	31
2	5251	26
106	5344	39
828	4358	2
12	1551	13
116	6374	0
2964	2444	16
222	899	11
101	9706	8
102	6734	1
104	8079	15
117	6797	10
117	32	7
307	7018	15
12	7907	22
247	212	3
112	9080	26
2005	2791	22
119	6203	10
126	832	10
105	8354	3
102	6930	38
251	2816	28
101	5709	17
492	7303	14
220	5795	0
12	8619	8
5033	2932	12
629	5316	1
123	400	0
366	2424	9
103	4631	39
11460	1796	7
662	2527	26
1259	3995	1
164	2982	16
12	3950	10
150	4564	4
542	742	13
1460	9980	6
103	2756	17
352	9657	0
132	7898	20
2141	5735	15
10857	4725	13
4669	5974	10
474	3726	23
120	9680	18
101	4320	25
101	1698	19
7930	7312	24
105	1637	12
21752	3200	30
1579	258	1
16	189	16
142	7052	30
7186	9654	10
9708	6495	29
14	8255	35
125	5439	22
110	3112	39
12	3815	12
114	1802	14
105	3147	25
