"news_words","hunspell_stem","hunspell_time","porter_stem","porter_time","rslp_stem","rslp_time","truncation_3","truncation_4","truncation_5","truncation_6","truncation_7","truncation_8"
"vítimas","vítima",4.10964059829712,"vítim",0.0717446804046631,"vitim",0.471906185150146,"vít","víti","vítim","vítima","vítimas","vítimas"
"agosto","gostar",4.18107604980469,"agost",0.0727465152740479,"agost",0.480445384979248,"ago","agos","agost","agosto","agosto","agosto"
"alerta","alertar",4.25302147865295,"alert",0.0737335681915283,"alert",0.489137172698975,"ale","aler","alert","alerta","alerta","alerta"
"atividade","ativos",4.31678032875061,"ativ",0.0747127532958984,"ativ",0.495889663696289,"ati","ativ","ativi","ativid","ativida","atividad"
"bastante","bastar",4.39211535453796,"bastant",0.0757076740264893,"bast",0.503264904022217,"bas","bast","basta","bastan","bastant","bastante"
"brasileiros","brasileiro",4.46515989303589,"brasileir",0.0767233371734619,"brasil",0.511160850524902,"bra","bras","brasi","brasil","brasile","brasilei"
"carreira","carreiro",4.5355589389801,"carreir",0.0777184963226318,"carr",0.519057035446167,"car","carr","carre","carrei","carreir","carreira"
"direitos","direito",4.60543346405029,"direit",0.0787045955657959,"direit",0.527776718139648,"dir","dire","direi","direit","direito","direitos"
"dizer","dizer",4.68864822387695,"diz",0.0796897411346436,"diz",0.536168575286865,"diz","dize","dizer","dizer","dizer","dizer"
"eleições","eleição",4.75376653671265,"eleiçõ",0.0807099342346191,"ele",0.547000169754028,"ele","elei","eleiç","eleiçõ","eleiçõe","eleições"
"ensino","ensinar",4.82256484031677,"ensin",0.0817091464996338,"ensin",0.555684089660645,"ens","ensi","ensin","ensino","ensino","ensino"
"estados","estar",4.89082384109497,"estad",0.0826940536499023,"est",0.563270568847656,"est","esta","estad","estado","estados","estados"
"fevereiro","fevereiro",4.96147227287292,"fevereir",0.0836911201477051,"fever",0.570770978927612,"fev","feve","fever","fevere","feverei","fevereir"
"forte","forte",5.03111171722412,"fort",0.0848989486694336,"fort",0.579190731048584,"for","fort","forte","forte","forte","forte"
"internet","net",5.10318446159363,"internet",0.085944652557373,"internet",0.587263345718384,"int","inte","inter","intern","interne","internet"
"médicos","médico",5.18171286582947,"médic",0.0869505405426025,"medic",0.596096992492676,"méd","médi","médic","médico","médicos","médicos"
"preciso","precisar",5.26131319999695,"precis",0.0879533290863037,"precis",0.60481858253479,"pre","prec","preci","precis","preciso","preciso"
"principais","principal",5.33520603179932,"princip",0.088970422744751,"princip",0.612823247909546,"pri","prin","princ","princi","princip","principa"
"principalmente","principal",5.40817952156067,"principal",0.0899767875671387,"princip",0.620062351226807,"pri","prin","princ","princi","princip","principa"
"quarto","quartar",5.48042750358582,"quart",0.0909669399261475,"quart",0.628195524215698,"qua","quar","quart","quarto","quarto","quarto"
"suspeito","suspeitar",5.54648590087891,"suspeit",0.0919792652130127,"suspeit",0.636945247650146,"sus","susp","suspe","suspei","suspeit","suspeito"
"tecnologia","tecnologia",5.62801122665405,"tecnolog",0.0930132865905762,"tecnolog",0.645681858062744,"tec","tecn","tecno","tecnol","tecnolo","tecnolog"
"transporte","transportar",5.70181894302368,"transport",0.0940320491790771,"transport",0.654030561447144,"tra","tran","trans","transp","transpo","transpor"
"vídeo","vídeo",5.77560520172119,"víd",0.0950188636779785,"vide",0.662192106246948,"víd","víde","vídeo","vídeo","vídeo","vídeo"
"água","água",5.84538197517395,"águ",0.0960381031036377,"agu",0.671798229217529,"águ","água","água","água","água","água"
"época","época",5.91650319099426,"époc",0.0970268249511719,"epoc",0.699198007583618,"épo","époc","época","época","época","época"
"durante","durar",6.0320029258728,"durant",0.0988161563873291,"dur",0.706156730651855,"dur","dura","duran","durant","durante","durante"
"silva","silvar",6.17527174949646,"silv",0.101319074630737,"silv",0.715038776397705,"sil","silv","silva","silva","silva","silva"
"aulas","ulo",6.2393274307251,"aul",0.102332353591919,"aul",0.724321126937866,"aul","aula","aulas","aulas","aulas","aulas"
"carro","carrar",6.30889844894409,"carr",0.103345394134521,"carr",0.733029365539551,"car","carr","carro","carro","carro","carro"
"continuar","continuar",6.37953019142151,"continu",0.104418992996216,"continu",0.740935802459717,"con","cont","conti","contin","continu","continua"
"crescimento","crescer",6.44964838027954,"cresciment",0.105430603027344,"cresc",0.747646570205688,"cre","cres","cresc","cresci","crescim","crescime"
"deverá","dever",6.52172064781189,"dev",0.106457948684692,"dev",0.75588059425354,"dev","deve","dever","deverá","deverá","deverá"
"educação","educação",6.59133791923523,"educ",0.107459783554077,"educ",0.763221025466919,"edu","educ","educa","educaç","educaçã","educação"
"entrada","entrar",6.65407752990723,"entrad",0.10848331451416,"entr",0.771369218826294,"ent","entr","entra","entrad","entrada","entrada"
"entrou","entrar",6.72194600105286,"entrou",0.109498739242554,"entr",0.780281543731689,"ent","entr","entro","entrou","entrou","entrou"
"estadual","estadual",6.79203128814697,"estadual",0.110516309738159,"estad",0.787519454956055,"est","esta","estad","estadu","estadua","estadual"
"futuro","futurar",6.86071133613586,"futur",0.111534357070923,"futur",0.798058271408081,"fut","futu","futur","futuro","futuro","futuro"
"jovens","jovem",6.93018364906311,"jovens",0.112547636032104,"jov",0.807504177093506,"jov","jove","joven","jovens","jovens","jovens"
"nenhum","nenhum",6.99982786178589,"nenhum",0.113552331924438,"nenhum",0.815757989883423,"nen","nenh","nenhu","nenhum","nenhum","nenhum"
"nessa","nesse",7.06251668930054,"ness",0.114547252655029,"ness",0.824391841888428,"nes","ness","nessa","nessa","nessa","nessa"
"poderia","poder",7.13172149658203,"pod",0.115546226501465,"pod",0.832756280899048,"pod","pode","poder","poderi","poderia","poderia"
"positivo","positivar",7.20019483566284,"posit",0.116630077362061,"posi",0.840446710586548,"pos","posi","posit","positi","positiv","positivo"
"problemas","problema",7.26855134963989,"problem",0.117648839950562,"problem",0.850262403488159,"pro","prob","probl","proble","problem","problema"
"próprio","próprio",7.33628177642822,"própri",0.118671894073486,"propri",0.858615398406982,"pró","próp","própr","própri","próprio","próprio"
"responsável","responsável",7.40307116508484,"respons",0.11968731880188,"respons",0.865756273269653,"res","resp","respo","respon","respons","responsá"
"sair","sair",7.46492838859558,"sair",0.120728731155396,"sair",0.874370813369751,"sai","sair","sair","sair","sair","sair"
"sentido","sentir",7.53336215019226,"sent",0.121740102767944,"sent",0.881551027297974,"sen","sent","senti","sentid","sentido","sentido"
"sintomas","sintoma",7.60301113128662,"sintom",0.122799634933472,"sintom",0.890906810760498,"sin","sint","sinto","sintom","sintoma","sintomas"
"hoje","hoje",7.67971682548523,"hoj",0.1238112449646,"hoj",0.899435043334961,"hoj","hoje","hoje","hoje","hoje","hoje"
"maria","maria",7.78611373901367,"mar",0.12563157081604,"mar",0.908045768737793,"mar","mari","maria","maria","maria","maria"
"ministério","ministério",7.85476279258728,"ministéri",0.126657724380493,"minist",0.914885997772217,"min","mini","minis","minist","ministé","ministér"
"público","público",7.92340993881226,"públic",0.127669095993042,"public",0.924110412597656,"púb","públ","públi","públic","público","público"
"universidade","universo",7.99109125137329,"univers",0.128723859786987,"univers",0.931359052658081,"uni","univ","unive","univer","univers","universi"
"agentes","agente",8.05401420593262,"agent",0.129731178283691,"agent",0.940381288528442,"age","agen","agent","agente","agentes","agentes"
"candidatos","candidatos",8.12171673774719,"candidat",0.130734443664551,"candidat",0.949268102645874,"can","cand","candi","candid","candida","candidat"
"claro","claro",8.19080805778503,"clar",0.131729364395142,"clar",0.957418441772461,"cla","clar","claro","claro","claro","claro"
"coisa","coisar",8.32369017601013,"cois",0.132755279541016,"cois",0.966304779052734,"coi","cois","coisa","coisa","coisa","coisa"
"conseguiu","conseguir",8.38415312767029,"consegu",0.133773565292358,"consegu",0.975025415420532,"con","cons","conse","conseg","consegu","consegui"
"diversas","diverso",8.45129537582397,"divers",0.13477611541748,"divers",0.984740734100342,"div","dive","diver","divers","diversa","diversas"
"diversos","diverso",8.53034043312073,"divers",0.13577938079834,"divers",0.993994951248169,"div","dive","diver","divers","diverso","diversos"
"emergencial","emergencial",8.59475541114807,"emergencial",0.136826753616333,"emerg",1.00293660163879,"eme","emer","emerg","emerge","emergen","emergenc"
"entrar","entrar",8.66668939590454,"entrar",0.137824296951294,"entr",1.01102018356323,"ent","entr","entra","entrar","entrar","entrar"
"estudo","estudar",8.72953152656555,"estud",0.138832569122314,"estud",1.01997566223145,"est","estu","estud","estudo","estudo","estudo"
"filho","filhar",8.79120421409607,"filh",0.139830589294434,"filh",1.02888512611389,"fil","filh","filho","filho","filho","filho"
"filhos","filhos",8.85873699188232,"filh",0.140843391418457,"filh",1.05929183959961,"fil","filh","filho","filhos","filhos","filhos"
"iniciativa","iniciativo",8.919184923172,"inic",0.141844511032104,"inici",1.06709432601929,"ini","inic","inici","inicia","iniciat","iniciati"
"instituições","instituição",8.98050355911255,"instituiçõ",0.142868995666504,"institu",1.07501149177551,"ins","inst","insti","instit","institu","institui"
"ninguém","ninguém",9.04844117164612,"ninguém",0.143905878067017,"ninguem",1.08335947990417,"nin","ning","ningu","ningué","ninguém","ninguém"
"obra","obrar",9.10979437828064,"obra",0.144911050796509,"obr",1.092604637146,"obr","obra","obra","obra","obra","obra"
"possibilidade","possível",9.17116665840149,"possibil",0.145917177200317,"possibil",1.09952211380005,"pos","poss","possi","possib","possibi","possibil"
