"wiki_words","hunspell_stem","hunspell_time","rslp_stem","rslp_time","porter_stem","porter_time","truncation_3","truncation_4","truncation_5","truncation_6","truncation_7","truncation_8"
"seguinte","seguinte",3.44002604484558,"seguint",0.443784952163696,"seguint",0.0729269981384277,"seg","segu","segui","seguin","seguint","seguinte"
"tipo","tipo",3.50176286697388,"tip",0.452132701873779,"tip",0.0742712020874023,"tip","tipo","tipo","tipo","tipo","tipo"
"canção","canção",3.57700657844543,"canca",0.46068549156189,"cançã",0.0752713680267334,"can","canç","cançã","canção","canção","canção"
"filho","filhar",3.63838410377502,"filh",0.469053745269775,"filh",0.0761823654174805,"fil","filh","filho","filho","filho","filho"
"guerra","guerra",3.69938278198242,"guerr",0.47767162322998,"guerr",0.0771095752716064,"gue","guer","guerr","guerra","guerra","guerra"
"janeiro","janeiro",3.76080131530762,"jan",0.485065698623657,"janeir",0.078155517578125,"jan","jane","janei","janeir","janeiro","janeiro"
"poder","poder",3.83612036705017,"pod",0.493022203445435,"pod",0.0790865421295166,"pod","pode","poder","poder","poder","poder"
"principais","principal",3.89793634414673,"princip",0.500948905944824,"princip",0.0799655914306641,"pri","prin","princ","princi","princip","principa"
"título","título",3.95959615707397,"titul",0.509571075439453,"títul",0.0808629989624023,"tít","títu","títul","título","título","título"
"campo","campar",4.03520941734314,"camp",0.517978191375732,"camp",0.0817611217498779,"cam","camp","campo","campo","campo","campo"
"mesma","mesmo",4.09655117988586,"mesm",0.526598453521729,"mesm",0.0826294422149658,"mes","mesm","mesma","mesma","mesma","mesma"
"mãe","mãe",4.15754389762878,"mae",0.5350022315979,"mã",0.0834798812866211,"mãe","mãe","mãe","mãe","mãe","mãe"
"porém","porém",4.23326349258423,"porem",0.545360088348389,"porém",0.084348201751709,"por","poré","porém","porém","porém","porém"
"maria","maria",4.29457235336304,"mar",0.568578958511353,"mar",0.0852031707763672,"mar","mari","maria","maria","maria","maria"
"estado","estar",4.35586047172546,"est",0.576062917709351,"estad",0.0861344337463379,"est","esta","estad","estado","estado","estado"
"lançamento","lançar",4.41706395149231,"lanc",0.583174228668213,"lançament",0.0870344638824463,"lan","lanç","lança","lançam","lançame","lançamen"
"porque","porque",4.49297142028809,"porqu",0.591484308242798,"porqu",0.0878987312316895,"por","porq","porqu","porque","porque","porque"
"possível","possível",4.55437016487122,"possivel",0.599792957305908,"possível",0.0887687206268311,"pos","poss","possí","possív","possíve","possível"
"dentro","dentro",4.61626005172729,"dentr",0.608149766921997,"dentr",0.0896272659301758,"den","dent","dentr","dentro","dentro","dentro"
"geral","geral",4.69252228736877,"geral",0.615907192230225,"geral",0.0904901027679443,"ger","gera","geral","geral","geral","geral"
"quais","qual",4.75450038909912,"qual",0.624861717224121,"qua",0.0913431644439697,"qua","quai","quais","quais","quais","quais"
