12397	3106	6
29498	4849	11
101	1711	6
393	7377	13
110	498	20
109	7741	14
28742	8353	18
688	1286	6
101	2624	1
6264	5106	0
136	6972	19
102	552	13
130	3947	0
12	1888	6
106	8178	14
339	2958	0
2	983	4
165	2412	5
14	1162	22
105	2246	8
103	3335	6
13284	6888	33
104	6446	6
102	6094	13
104	4623	3
819	814	10
6839	869	28
101	4937	6
115	4485	1
192	7446	6
102	7434	20
133	9000	11
12	8076	29
103	5056	3
123	8156	6
2199	6695	15
20105	8877	12
105	7365	20
2438	9708	36
265	5847	10
14	8780	13
12	8259	1
14	9319	19
104	324	11
10991	8715	21
432	7352	11
718	4365	5
11042	7019	18
1484	7493	21
237	965	4
1729	7860	5
130	3500	0
3674	2223	2
1944	4354	6
450	9568	11
222	5222	6
219	4398	13
101	5121	18
697	2845	16
1210	4846	15
114	8846	18
3156	5108	7
540	3800	1
17489	4348	0
6518	8881	5
1121	3965	5
153	4185	31
416	3612	12
14	2139	40
1714	2128	22
1376	3628	1
3084	3562	12
7842	7792	4
11181	1401	3
134	9796	27
19481	3854	1
11285	8488	9
102	7078	8
6929	3830	14
2463	8982	19
124	6997	10
15815	5971	13
117	8001	17
9	403	18
102	972	5
1448	4430	26
703	1944	33
11267	4813	41
115	7978	4
3393	2590	38
3899	4563	4
856	9154	5
17233	7540	3
12	8388	3
108	8436	10
383	3756	20
2910	666	5
406	2164	8
136	1530	2
101	6540	11
2551	3132	11
14403	7979	16
23437	1876	6
679	2684	22
28366	8868	25
7979	7864	2
120	2479	17
4245	8777	22
17140	8752	23
14	7081	27
150	8886	4
12	4717	30
12	2341	15
1150	5008	0
1856	2448	12
107	6898	4
153	1655	15
25370	4198	23
271	452	12
387	9296	30
106	6450	8
347	2539	16
121	1693	0
343	231	4
2	8122	15
9	3375	34
2	2552	5
5650	1572	13
1127	807	6
2089	1870	2
103	4458	13
15483	4764	6
1750	942	3
103	9313	8
108	5397	3
504	4821	7
2013	1759	1
22543	8760	0
7183	3740	7
117	9581	3
107	2489	12
101	5354	10
101	6149	13
162	7056	5
12	294	22
12	7237	25
34722	3855	10
169	8936	4
14	1255	24
216	9509	30
12	195	10
104	2923	10
33166	798	1
799	4833	4
101	2605	15
18697	9999	16
24162	5755	27
156	2877	9
1616	660	36
23250	5460	9
395	3823	18
14	1858	6
108	6174	12
1734	3931	4
7430	2801	6
726	5225	28
594	422	6
2184	4456	3
121	468	0
3640	7924	18
2692	510	20
2464	1443	7
101	232	2
157	3223	13
5543	6075	17
8091	4659	1
251	9031	3
153	1017	15
30411	4302	9
27819	378	14
