7607	104	3	23.92
101	1097	4	5.6
581	332	4	39.75
830	101	7	14.16
168	169	3	11.72
425	138	4	22.32
193	416	3	20.9
163	1257	6	61.24
104	702	6	18.71
104	635	4	8.83
101	2169	3	6.48
318	190	7	56.76
12	1938	3	4.97
102	3893	3	14.12
122	7070	3	31.78
1920	12	3	4.97
109	950	7	37.52
104	1981	4	17.73
108	125	42	59.53
683	103	4	7.45
117	747	3	11.76
1536	14	4	8.6
108	6377	3	26.38
103	1068	3	6.41
101	1655	3	4.96
122	3627	5	47.58
113	1074	3	12.86
2647	101	3	7.91
6016	101	3	17.98
111	548	6	23.96
114	463	8	38.67
176	110	11	23.81
111	219	7	16.16
125	2630	3	22.7
827	107	5	17.89
679	101	6	8.07
111	178	36	169.87
2533	103	4	19.11
114	2765	3	19.58
708	106	5	15.53
104	1860	3	10.76
117	866	4	18.98
1090	12	4	4.46
108	547	12	58.81
117	1000	6	36.12
105	1376	3	10.34
121	400	3	9.1
104	957	5	16.92
3745	14	3	10.26
129	864	4	23.78
154	474	8	67.42
183	12	33	40.55
2350	116	5	38.35
108	1193	5	23.02
130	210	5	17.03
456	14	13	27.68
6211	1228	3	56.88
701	102	3	4.12
129	2205	3	22.04
1103	2267	5	81.83
556	138	8	61.61
3966	101	4	19.08
105	793	5	16.83
784	104	3	5.98
2320	101	6	24.82
104	535	12	48.56
115	691	18	141.93
127	1704	4	28.56
582	118	3	10.82
145	162	41	330.1
225	14	16	17.03
121	2191	3	19.61
101	275	24	52.52
133	111	12	8.63
272	137	21	167.7
119	877	3	13.66
1572	12	4	7.56
3115	14	4	15.11
117	4715	3	23.82
113	162	58	332.01
102	966	8	31.3
1713	12	3	4.49
2843	12	3	6.9
1299	14	3	4.11
113	234	4	7.24
107	2101	3	13.63
102	1018	6	20.2
123	1995	3	20.04
101	1600	3	4.96
383	108	3	4.3
192	1337	3	28.35
101	1464	7	22.06
1729	4	11	190.86
316	216	3	20.78
4719	101	4	19.08
1199	102	3	6.81
12	354	14	18.43
12	563	12	23.95
127	4585	3	26.69
250	102	9	12.52
108	2475	3	15.07
102	661	9	30.62
101	1211	6	15.02
103	496	5	8.61
138	103	17	5.43
1469	12	5	10.98
357	12	9	6
12	5071	3	12.49
101	1346	3	3.87
113	1254	3	13.88
102	2110	3	10.42
407	105	4	6.47
1832	12	3	4.49
101	378	7	4.62
104	2991	3	14.51
101	529	22	80.24
105	942	10	53.32
117	1506	3	16.11
127	5355	4	44.54
116	127	10	4.12
3342	9	3	24.44
1345	101	3	3.87
727	109	4	14.21
12	1508	6	15.6
104	198	19	48.11
123	856	4	22.02
119	789	3	12.94
298	101	17	29.29
101	541	11	22.99
115	4344	3	23.62
101	439	24	79.83
178	127	16	74.87
2	396	6	18.94
104	233	13	29.65
109	1309	5	26.58
129	326	3	10.23
455	12	19	47.82
2546	12	3	6.9
171	166	6	31.76
140	4290	3	31.47
130	996	3	17.51
155	373	3	17.37
468	105	4	7.59
5153	108	3	21.91
124	3131	3	23.43
107	2279	6	39.95
149	156	7	32.13
184	14	22	20.64
12	208	26	32.06
109	545	5	17.3
654	405	8	97.86
131	893	5	34.73
817	12	6	8.12
222	8	3	5.75
1137	14	4	6.28
108	695	3	7.54
131	1043	4	26.99
164	107	7	4.89
1255	101	9	31.27
6767	102	3	22.29
112	180	9	18.64
