5041	102	4	7.16
812	193	4	10.13
3563	114	4	7.7
256	577	4	10.31
101	961	25	21.52
5612	104	4	8.07
166	975	4	9.21
1038	544	7	48.99
118	8	165	18.78
1329	141	5	13.18
1135	135	5	10.02
101	885	23	10.1
165	3346	3	13.94
940	945	3	17.58
143	152	25	20.67
532	587	8	47.71
134	2232	3	6.69
149	423	6	7.26
2407	621	3	21.35
856	313	4	15.56
564	4962	4	43.78
896	1909	3	22.58
14	116	1264	11.26
130	4125	3	10.06
121	1974	5	8.73
14	185	176	11.53
236	212	7	8.87
438	450	3	7.96
1785	335	3	14.86
2222	313	3	16.02
1073	1285	5	40.57
7118	106	3	7.61
104	835	20	10.04
4012	110	4	6.83
1006	142	5	10.57
1702	2346	10	141.39
122	2757	4	8.08
39	45	15	185.94
109	1870	8	9.43
101	2304	10	11.32
125	1560	6	10.8
315	139	13	19.25
161	274	8	11.2
423	1635	4	23.93
338	1348	7	45.26
107	2803	6	6.87
4334	3187	5	80.6
300	105	54	20.11
245	9	21	6.71
1427	3718	6	78.94
121	5356	3	9.88
114	5481	3	8.1
1061	946	3	18.08
1638	1542	3	24.25
192	2716	3	13.45
4605	124	3	8.65
121	3335	4	9.94
105	532	26	8.61
310	585	3	7.55
107	2751	6	8.75
5084	115	3	8.23
4045	110	4	6.83
147	1163	5	13.05
2344	573	3	20.61
828	5556	3	30.26
3067	105	8	15.8
320	528	3	7.25
115	3063	5	10.99
6454	2598	3	43.21
829	682	3	14.32
1007	223	3	8.1
181	1262	3	7.5
178	309	6	7.81
12	666	35	11.45
9	402	23	31.24
1276	353	3	13.21
113	2570	5	11.77
690	524	3	12
2175	526	3	19.54
139	142	24	10.97
5352	106	4	10.14
3998	195	3	20.55
4809	131	3	11.94
416	1147	3	13.35
105	1200	15	10.09
108	124	219	9.1
2684	112	5	8.26
124	951	10	19.11
2465	115	5	8.25
3311	21	3	13.91
2524	1576	3	27.03
5061	112	3	7.44
3607	106	6	15.22
123	5391	4	19.7
442	1605	3	16.95
1173	532	10	83.32
581	334	7	31.08
1153	442	5	30.38
1044	235	3	8.75
198	415	5	9.28
554	243	4	9.99
736	318	3	9.2
165	4650	3	16.69
629	222	5	13.88
1814	1720	5	50.45
1718	1445	3	24.31
573	107	22	12.59
1033	116	9	8.49
3029	109	6	10.2
9	4730	3	7.51
1586	145	3	6.71
4657	104	5	10.09
5431	114	3	8.1
2132	111	6	9.64
1558	178	7	35.53
3687	150	3	13.13
288	111	33	18.9
139	2953	4	15.92
117	3247	4	8.24
262	632	3	7.01
581	3002	3	22.36
301	387	5	12.95
371	668	4	14.92
998	1000	3	18.6
650	294	3	7.81
4	3597	3	15.2
119	1648	7	12.02
102	320	78	107.79
2143	109	6	6.73
177	2296	3	11.64
126	116	168	45.34
3760	101	6	6.79
1205	4	4	11.45
307	109	31	7.78
189	529	4	7
126	185	30	15.89
154	808	4	6.86
1696	178	5	22.83
2503	123	5	11.66
1291	163	4	11.34
107	1157	12	9.71
157	1139	4	9.96
6534	1613	3	39.66
128	3563	3	8.13
607	281	3	7.05
859	253	3	8.12
