7107	3371	26
101	1711	6
101	2624	1
26077	5710	23
2236	6835	19
1971	9621	0
101	1866	26
10250	1536	16
102	8011	2
2207	1701	8
26081	4294	16
208	8860	7
7190	204	8
12	7629	11
12	3137	3
174	3515	21
12	2959	1
1314	1171	21
190	4023	1
196	3464	4
27048	4655	35
372	3317	27
2856	6453	26
9	7359	36
9653	6643	8
102	7434	20
350	2203	7
106	3135	16
105	6116	17
12	4742	6
45	6651	23
115	740	21
12	7499	29
103	139	11
106	2358	18
317	7957	11
110	9460	3
12	1539	12
440	7639	10
130	1440	10
2131	7741	12
104	3499	12
162	6106	0
109	2332	14
3125	5864	12
202	6768	26
676	9278	22
104	9988	6
24375	6359	16
106	5652	11
3549	8680	31
12	3718	3
12	9676	21
23139	8435	15
716	3012	14
433	6093	1
783	8698	13
11047	4664	16
119	8147	34
25975	1307	20
3709	6217	11
9019	5280	19
13318	4795	11
241	9844	24
12	3363	29
233	9646	1
2126	9509	13
839	754	20
150	3792	0
19623	355	11
300	436	4
1596	2241	1
4130	748	7
158	7257	8
25840	1877	39
9598	7473	1
102	2446	10
256	768	32
122	5044	3
1016	1004	1
12	3938	11
115	7202	4
12	1091	14
179	3752	20
532	7402	33
727	2370	18
125	7828	4
1773	7444	14
141	5606	2
227	7131	9
2	4402	10
15782	4776	12
5286	8093	15
1492	4693	38
102	9612	8
101	4361	4
160	4095	3
1642	2105	16
348	4003	7
909	90	11
4501	1649	4
3067	9066	19
226	5593	18
14	5346	22
115	902	11
12	3493	11
610	1140	1
108	7127	8
8	9002	7
1856	6966	4
1306	7848	8
1294	2713	14
102	5674	5
9573	3424	3
349	2057	3
124	7634	30
105	6895	30
149	1270	9
665	4977	5
2070	3591	33
3473	3827	46
2320	6827	3
210	5086	41
5605	2595	22
8	4647	16
116	7082	0
157	3639	12
12	9098	5
12	8039	5
102	2815	33
1482	4352	3
110	1878	20
4050	2644	2
24507	2189	32
107	9759	4
130	515	6
12	4140	8
1241	7930	3
1616	1253	5
103	1832	7
11462	1452	15
103	8333	22
869	6946	16
14391	4668	17
12	2916	25
353	7719	36
836	8124	8
1161	4771	17
7861	6596	2
12	1193	2
2146	3934	8
11152	484	30
12	1356	30
14	5839	26
101	2441	5
107	6197	4
111	1040	14
212	966	10
19361	3133	6
14	5483	16
153	3260	5
9394	5184	32
10523	6335	5
108	4479	11
19969	5749	36
193	627	13
108	3026	6
134	9138	19
23481	1183	14
881	432	7
9237	6800	5
7	4490	14
145	7375	4
109	4799	7
116	6509	0
105	7015	12
12	8973	7
8888	8999	5
102	2852	4
12237	1329	12
14	4188	43
916	2999	10
116	7395	0
574	1216	5
1	5879	7
114	9258	18
105	6715	43
123	8568	12
101	7727	7
107	2141	4
102	480	29
3995	1373	11
112	1658	16
809	6850	37
110	5074	10
2162	7838	22
2293	2420	8
258	2520	0
5928	3677	18
116	8007	10
101	4452	10
126	7841	14
113	3739	25
102	7874	4
123	7729	6
897	3922	0
101	3554	25
189	2608	9
57	732	0
1994	2533	25
101	3776	5
970	341	4
118	421	0
123	6103	3
147	7651	0
12	4716	10
27260	6787	2
23034	4490	19
217	9061	0
3556	7792	23
2016	6927	17
3141	4998	19
646	7303	12
111	253	4
14	9084	48
18174	83	28
832	5579	14
17241	4335	7
12	1647	22
1232	6210	24
103	1740	15
105	9062	18
9	2287	15
801	4847	3
2422	178	3
12	7463	7
9	1509	20
25652	2837	3
12	5638	2
4060	1036	17
9654	9147	28
821	837	34
25251	8404	20
14	6629	24
127	1609	8
14	8902	26
110	8029	22
103	1	28
14	3650	14
1395	1569	21
27476	4729	8
7206	2349	11
120	1083	15
14	8327	12
1234	8070	21
2286	7361	2
1691	5028	1
141	7756	4
102	7430	21
175	2225	5
21564	9669	1
10094	9260	37
248	1569	15
14	6499	14
11557	1507	2
1327	836	16
148	1711	12
14	8768	12
113	7600	10
8701	4507	0
961	6020	23
12159	5157	39
1998	9287	19
15906	400	8
966	115	26
251	900	7
5703	2129	7
13011	1424	6
14	4099	29
161	5014	21
1240	8356	10
23119	3604	4
8405	3965	34
26216	6164	9
340	2665	26
102	4911	6
14	886	44
201	2478	16
21895	3203	24
10973	2725	30
18794	8438	0
3124	9933	2
12	9829	10
15243	5934	8
105	876	14
3627	2289	0
27512	8620	9
8016	2314	6
226	4765	7
5754	2693	13
121	4949	1
4348	2751	12
119	8238	6
101	7981	2
3573	7634	12
177	7291	1
22088	6485	15
57	8158	0
113	6005	7
12	733	42
14	3133	33
180	1952	0
14	8677	18
12	5571	7
13805	4190	12
1214	9477	3
12	8719	2
108	5080	16
12	3723	22
4438	4297	18
266	4135	12
233	5315	13
11930	1397	18
2023	3785	32
131	7238	8
104	7340	7
21	2488	14
2475	4253	4
110	2746	2
127	9607	5
119	4843	1
3611	1045	0
640	4788	3
226	6036	5
105	8229	1
617	1839	8
257	3100	7
4005	399	18
137	1564	19
109	6746	19
15668	3729	0
5788	4972	9
102	385	18
1121	7647	16
618	2048	3
8052	2641	5
260	9211	6
12	2345	14
3242	8382	11
11191	184	4
108	5242	8
10337	120	9
1028	4490	16
321	2539	4
131	5095	9
423	5402	14
2209	8268	6
104	3979	21
103	234	4
105	741	8
4094	229	5
212	681	1
8911	3024	11
103	7276	23
108	9785	25
14	5601	7
4208	7221	3
25230	9119	18
6172	5517	21
15500	8103	21
2	8662	0
160	4285	1
14	8630	37
5215	5040	1
107	8183	7
105	34	8
10934	7078	29
6003	8753	17
129	3403	25
105	9826	5
3280	2137	9
14018	4996	2
2771	3056	13
8	1710	27
4030	2224	10
322	3179	3
4166	3028	25
3184	4798	0
102	2408	7
104	5636	4
104	6891	3
136	1556	15
3668	791	13
12	207	11
117	4480	8
14	1259	25
335	4418	2
207	4022	28
321	13	1
2539	1189	0
113	3379	18
5154	3655	29
3248	7373	4
18251	6923	0
117	3747	5
3256	3262	5
127	9706	11
223	3052	8
