17	111	3	4.08
101	885	8	17.47
143	152	7	26.24
113	1968	3	16.21
2675	101	5	19.07
1757	101	5	13.64
102	1519	6	23.47
107	396	5	8.65
102	1477	4	11.53
1073	1285	5	70.77
101	2168	3	6.48
2427	103	3	11.04
104	835	3	4.53
1271	12	4	3.95
109	1870	5	27.69
279	12	21	22.38
2139	12	3	4.54
315	139	11	74.36
338	1348	7	87.59
4334	3187	5	108.38
121	5356	3	27.68
188	110	8	13.23
937	12	5	4.36
107	2751	5	30.17
178	108	7	5.92
115	3063	3	19.86
4809	131	3	29.87
680	103	8	23.86
1890	12	4	6.97
124	951	8	55.57
123	5391	3	28.34
12	4556	3	9.89
103	1000	7	24.71
253	213	5	32.44
581	3002	3	40.77
119	1648	3	16.42
102	320	68	416.68
112	469	6	21.91
1696	178	3	27.47
107	1157	5	19.33
2394	101	3	7.06
456	107	4	6.5
113	7036	3	29.58
103	811	5	11.71
1520	101	4	7.96
4267	101	3	12.09
115	502	4	13.21
673	6712	3	52.29
174	111	12	26.38
102	401	22	80.86
162	236	3	12.8
824	107	5	15.47
114	741	5	22.24
333	821	3	27.64
1248	131	3	19.75
116	1553	3	15.36
813	14	9	20.29
142	286	3	12.24
108	475	4	8.19
1090	169	4	33.92
303	110	6	13.33
111	1226	3	11.96
587	106	9	31.25
1018	286	4	39.88
104	1092	5	15.06
116	228	4	6.46
120	395	42	351.98
463	103	4	4.08
106	4365	3	17.93
101	2423	4	11.94
1774	14	3	5.19
2330	9	3	18.84
267	124	6	20.85
1055	12	5	5.26
103	1880	4	14.95
1491	101	7	21.37
118	533	3	9.45
283	104	8	9.89
115	1272	6	36.51
106	1061	5	17.06
793	107	6	20.4
138	176	3	7.36
306	378	12	124.42
107	313	23	95.46
3967	101	3	10.6
111	977	3	10.38
2123	101	5	16.46
2484	130	5	46.7
3317	101	4	15.57
1213	101	5	9.48
110	170	7	7.27
376	1044	6	69.81
144	160	7	28.63
102	1778	4	13.18
2871	12	3	6.44
103	1432	3	7.73
156	431	6	42.32
132	112	10	8
104	2683	4	18.54
375	195	5	36.18
644	105	7	18.49
132	158	3	5.42
868	14	6	9.63
12	4077	3	8.44
1990	14	3	6.06
490	139	3	15.39
2635	110	3	16.62
1712	12	4	6.4
105	5349	3	18.6
102	1085	12	56.99
102	1017	3	4.84
1264	119	3	14.58
4181	12	3	9.89
1033	868	3	35.27
137	548	3	15.74
485	12	10	9.28
901	14	7	14.15
12	2718	5	15.43
113	384	7	24.63
101	1465	11	46.83
12	4815	3	9.89
106	1258	5	19
2050	155	3	27
285	123	3	6.86
103	2968	5	27.8
131	531	7	46.37
109	188	31	120.3
8	159	8	14.89
114	2717	3	18.77
117	1548	3	15.47
112	2264	7	54.33
12	234	41	74.78
115	4682	3	23.67
1404	256	3	29.28
1316	101	5	10.45
1007	727	7	94.08
