"","UI","OI","SW","ERRT"
"Porter",0.146841188906852,0.0921838079840816,0.627778954054626,1.85449293015329
"RSLP",0.121968660614351,0.17998383285661,1.47565638541932,2.76837633756661
"trunc(3)",0.078597189404303,0.724474567839821,9.21756329113924,NA
"trunc(4)",0.10129337147121,0.465489366994155,4.59545733578883,NA
"trunc(5)",0.152717323715956,0.266167143390126,1.74287459283388,NA
"trunc(6)",0.225624922273349,0.143110309662977,0.634284139451564,NA
"trunc(7)",0.308294988185549,0.0785660987439373,0.254840661557079,NA
"trunc(8)",0.396281557020271,0.0398893172490984,0.100659030284011,NA
