"","UI","OI","SW","ERRT"
"Porter",0.135483514051781,0.0842553662314671,0.621886484279298,1.66181296677915
"RSLP",0.10915025448108,0.165246736003541,1.51393816523061,2.54702201159864
"trunc(3)",0.0699269749944678,0.679630449214428,9.71914556962025,NA
"trunc(4)",0.0930515600796636,0.414250940473556,4.45184304399524,NA
"trunc(5)",0.148262890019916,0.234675813233016,1.58283582089552,NA
"trunc(6)",0.223722062403187,0.1256915246736,0.561819980217606,NA
"trunc(7)",0.302943129010843,0.0690418234122594,0.227903579254931,NA
"trunc(8)",0.381610975879619,0.0345209117061297,0.0904610031893302,NA
