"","UI","OI","SW","ERRT"
"Porter",0.127406596686732,0.0918362270533804,0.720812182741117,1.7791450106033
"RSLP",0.100144271429282,0.177901596935476,1.77645305514158,2.71915417371139
"trunc(3)",0.0662156111636237,0.697875727575742,10.5394440270473,NA
"trunc(4)",0.0865131088005572,0.43246604646535,4.99884991374353,NA
"trunc(5)",0.136709616436993,0.244316203173971,1.78711790393013,NA
"trunc(6)",0.207502114322671,0.130938759265708,0.631023735315272,NA
"trunc(7)",0.281329287100144,0.0717874732600368,0.255172413793103,NA
"trunc(8)",0.359633849062236,0.0354211233271976,0.0984921842578503,NA
