"","UI","OI","SW","ERRT"
"Porter",0.131608698543592,0.0854558755070825,0.649317837291561,1.26484432804533
"RSLP",0.107601250249385,0.161069362239808,1.49690976514215,1.66940526637433
"trunc(3)",0.0690297266742036,0.667885881492319,9.67533718689788,NA
"trunc(4)",0.0925051539535812,0.405400013300525,4.38245866283249,NA
"trunc(5)",0.144377202899515,0.23023209416772,1.59465684016582,NA
"trunc(6)",0.21786260557292,0.124293409589679,0.57051282051282,NA
"trunc(7)",0.295537673738113,0.0696282503158875,0.235598559855986,NA
"trunc(8)",0.376670878499701,0.0343818580833943,0.0912782485875706,NA
